Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Cases,07/03/2021,12-17,16.7,2.1,,8.0,,,,,,,107885,48259,,18,1,,12,17
Cases,05/13/2023,All,59.4,20.3,29.8,2.9,2.0,68.6,21.8,25.2,3.1,2.7,536622,860351,1040648,319,175,310,999,999
Deaths,05/14/2022,65-79,0.0,2.0,1.2,0.0,0.0,,,,,,47442,48816,163445,0,1,2,65,79
Hospitalizations,07/31/2021,50-64,35.1,2.6,,13.5,,,,,,,99806,313577,,35,8,,50,64
Deaths,12/10/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,12/18/2021,All,1044.6,688.0,384.6,1.5,2.7,1195.7,571.8,431.4,2.1,2.8,829865,1210623,447192,8669,8329,1720,999,999
Deaths,11/18/2023,5-11,0.0,0.0,0.0,,,,,,,,88375,81993,22205,0,0,0,5,11
Deaths,05/22/2021,All,3.0,0.1,,30.0,,4.3,0.1,,61.2,,1335903,1010820,,40,1,,999,999
Cases,09/11/2021,80+,86.4,52.8,,1.6,,,,,,,31257,53008,,27,28,,80,200
Cases,05/27/2023,80+,24.4,8.8,36.1,2.8,0.7,,,,,,24542,11384,47129,6,1,17,80,200
Deaths,03/05/2022,30-49,0.0,0.0,0.0,,,,,,,,135567,295387,314346,0,0,0,30,49
Deaths,10/15/2022,5-11,0.0,0.0,0.0,,,,,,,,94329,80849,20269,0,0,0,5,11
Deaths,04/09/2022,80+,0.0,14.5,0.0,0.0,,,,,,,26990,13754,43462,0,2,0,80,200
Cases,11/25/2023,18-29,60.4,18.6,28.2,3.2,2.1,,,,,,67903,215525,162833,41,40,46,18,29
Deaths,12/11/2021,5-11,0.0,0.0,,,,,,,,,151855,2846,,0,0,,5,11
Cases,12/02/2023,50-64,221.9,58.9,74.1,3.8,3.0,,,,,,29740,125633,248283,66,74,184,50,64
Deaths,07/24/2021,12-17,0.0,0.0,,,,,,,,,98632,61084,,0,0,,12,17
Cases,12/18/2021,80+,269.1,244.5,90.3,1.1,3.0,,,,,,28242,24945,31019,76,61,28,80,200
Hospitalizations,09/09/2023,30-49,5.6,2.5,1.4,2.2,4.0,,,,,,106855,278397,347322,6,7,5,30,49
Deaths,08/07/2021,12-17,0.0,0.0,,,,,,,,,89733,67504,,0,0,,12,17
Hospitalizations,04/02/2022,30-49,3.8,1.0,0.9,3.8,4.2,,,,,,132699,290611,324980,5,3,3,30,49
Cases,11/18/2023,50-64,190.0,38.2,60.1,5.0,3.2,,,,,,29998,125698,247977,57,48,149,50,64
Hospitalizations,11/25/2023,18-29,2.9,0.5,0.0,5.8,,,,,,,67903,215525,162833,2,1,0,18,29
Cases,03/11/2023,30-49,112.3,47.8,70.8,2.3,1.6,,,,,,110407,277955,347264,124,133,246,30,49
Deaths,06/24/2023,50-64,0.0,0.0,0.0,,,,,,,,32713,125736,246925,0,0,0,50,64
Hospitalizations,06/10/2023,5-11,1.1,0.0,0.0,,,,,,,,90486,82681,21245,1,0,0,5,11
Cases,03/04/2023,5-11,125.7,136.2,217.0,0.9,0.6,,,,,,91467,82250,21203,115,112,46,5,11
Hospitalizations,10/28/2023,18-29,2.9,0.0,0.6,,4.8,,,,,,70076,214953,162196,2,0,1,18,29
Hospitalizations,07/03/2021,65-79,11.0,0.5,,22.0,,,,,,,72516,187809,,8,1,,65,79
Hospitalizations,06/12/2021,80+,17.6,6.0,,2.9,,,,,,,34140,49948,,6,3,,80,200
Cases,04/03/2021,All,201.6,25.4,,7.9,,198.6,21.0,,9.4,,1827674,338699,,3684,86,,999,999
Deaths,01/28/2023,12-17,0.0,0.0,0.0,,,,,,,,33411,86292,44551,0,0,0,12,17
Cases,10/01/2022,0-4,41.2,4.9,,8.4,,,,,,,162642,,,67,8,,0,4
Hospitalizations,10/21/2023,0-4,2.5,0.0,,,,,,,,,162642,,,4,0,,0,4
Hospitalizations,09/25/2021,80+,38.8,24.6,,1.6,,,,,,,30936,52848,,12,13,,80,200
Cases,09/18/2021,80+,64.3,35.9,,1.8,,,,,,,31106,52895,,20,19,,80,200
Hospitalizations,07/30/2022,0-4,3.1,0.0,,,,,,,,,162642,,,5,0,,0,4
Hospitalizations,07/01/2023,All,1.7,0.3,0.9,5.7,1.9,2.7,0.7,0.6,3.9,4.9,532370,860333,1040733,9,3,9,999,999
Deaths,07/03/2021,80+,0.0,0.0,,,,,,,,,33360,51317,,0,0,,80,200
Cases,01/14/2023,80+,117.0,211.0,212.2,0.6,0.6,,,,,,24777,11372,47117,29,24,100,80,200
Deaths,09/18/2021,80+,25.7,1.9,,13.5,,,,,,,31106,52895,,8,1,,80,200
Hospitalizations,02/04/2023,All,8.0,4.4,6.2,1.8,1.3,9.9,6.1,4.2,1.6,2.3,548376,856091,1040343,44,38,64,999,999
Hospitalizations,11/13/2021,80+,47.8,44.5,13.7,1.1,3.5,,,,,,29306,40458,14603,14,18,2,80,200
Cases,03/11/2023,0-4,47.3,4.3,,11.0,,,,,,,162642,,,77,7,,0,4
Cases,01/22/2022,0-4,506.0,,,,,,,,,,162642,,,823,,,0,4
Hospitalizations,03/26/2022,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Deaths,06/17/2023,50-64,0.0,0.0,0.0,,,,,,,,32757,125738,246922,0,0,0,50,64
Deaths,08/21/2021,50-64,7.6,0.0,,,,,,,,,91732,320054,,7,0,,50,64
Cases,05/15/2021,50-64,184.7,9.1,,20.3,,,,,,,139168,218624,,257,20,,50,64
Cases,10/07/2023,12-17,6.3,10.4,9.0,0.6,0.7,,,,,,31666,86571,44601,2,9,4,12,17
Deaths,11/27/2021,5-11,0.0,0.0,,,,,,,,,161164,5,,0,0,,5,11
Hospitalizations,09/03/2022,80+,64.9,61.1,76.7,1.1,0.8,,,,,,26205,11466,46907,17,7,36,80,200
Deaths,05/08/2021,18-29,0.7,0.0,,,,,,,,,274095,132496,,2,0,,18,29
Hospitalizations,10/02/2021,12-17,1.5,0.0,,,,,,,,,68439,93584,,1,0,,12,17
Cases,05/20/2023,0-4,16.0,0.6,,26.7,,,,,,,162642,,,26,1,,0,4
Cases,07/15/2023,5-11,3.3,2.4,9.4,1.4,0.4,,,,,,90116,82668,21259,3,2,2,5,11
Hospitalizations,10/08/2022,18-29,6.9,2.4,2.5,2.9,2.8,,,,,,87155,211790,161468,6,5,4,18,29
Cases,11/04/2023,0-4,43.7,1.8,,24.3,,,,,,,162642,,,71,3,,0,4
Hospitalizations,05/15/2021,65-79,55.0,3.6,,15.3,,,,,,,81874,166358,,45,6,,65,79
Deaths,03/25/2023,5-11,0.0,0.0,0.0,,,,,,,,91234,82443,21217,0,0,0,5,11
Deaths,12/17/2022,All,0.4,0.5,0.2,0.8,2.0,0.3,0.9,0.1,0.3,1.9,558425,852606,1039974,2,4,2,999,999
Hospitalizations,07/23/2022,65-79,43.4,44.1,16.6,1.0,2.6,,,,,,46080,45341,168622,20,20,28,65,79
Cases,10/29/2022,50-64,359.8,103.8,136.2,3.5,2.6,,,,,,37238,125235,246658,134,130,336,50,64
Deaths,04/01/2023,5-11,0.0,0.0,0.0,,,,,,,,91185,82489,21218,0,0,0,5,11
Deaths,11/11/2023,80+,0.0,0.0,4.2,,0.0,,,,,,24027,11603,47294,0,0,2,80,200
Hospitalizations,10/29/2022,5-11,1.1,0.0,4.8,,0.2,,,,,,93885,80560,20921,1,0,1,5,11
Cases,07/24/2021,All,75.6,31.0,,2.4,,81.3,25.5,,3.2,,1165954,1383641,,881,429,,999,999
Deaths,07/15/2023,12-17,0.0,0.0,0.0,,,,,,,,32190,86577,44590,0,0,0,12,17
Cases,12/03/2022,All,238.4,122.7,161.6,1.9,1.5,283.0,127.6,141.3,2.2,2.0,562883,851081,1039826,1342,1044,1680,999,999
Cases,11/25/2023,50-64,174.7,49.3,49.6,3.5,3.5,,,,,,29770,125696,248112,52,62,123,50,64
Hospitalizations,10/14/2023,18-29,5.6,0.5,0.0,11.2,,,,,,,71300,214478,161898,4,1,0,18,29
Cases,04/24/2021,80+,113.1,12.8,,8.8,,,,,,,38015,38918,,43,5,,80,200
Deaths,11/05/2022,65-79,7.1,0.0,1.2,,5.9,,,,,,42281,43326,171562,3,0,2,65,79
Cases,04/01/2023,50-64,125.5,46.9,59.5,2.7,2.1,,,,,,33477,125679,246893,42,59,147,50,64
Deaths,09/16/2023,65-79,0.0,0.0,0.6,,0.0,,,,,,39123,43414,171757,0,0,1,65,79
Deaths,07/29/2023,65-79,0.0,0.0,0.0,,,,,,,,39287,43420,171749,0,0,0,65,79
Hospitalizations,09/10/2022,80+,64.9,87.7,38.3,0.7,1.7,,,,,,26174,11409,46990,17,10,18,80,200
Cases,12/18/2021,0-4,351.7,,,,,,,,,,162642,,,572,,,0,4
Cases,11/20/2021,30-49,376.7,144.9,40.7,2.6,9.3,,,,,,192730,502972,63876,726,729,26,30,49
Deaths,04/30/2022,30-49,0.0,0.0,0.0,,,,,,,,130975,287056,330602,0,0,0,30,49
Deaths,08/05/2023,65-79,0.0,0.0,0.0,,,,,,,,39261,43418,171751,0,0,0,65,79
Hospitalizations,02/11/2023,50-64,26.4,8.0,5.7,3.3,4.6,,,,,,34058,125536,246859,9,10,14,50,64
Deaths,07/22/2023,80+,0.0,0.0,0.0,,,,,,,,24486,11383,47130,0,0,0,80,200
Cases,04/15/2023,65-79,57.8,59.9,68.1,1.0,0.8,,,,,,39800,43431,171719,23,26,117,65,79
Hospitalizations,10/29/2022,80+,59.2,70.4,34.0,0.8,1.7,,,,,,25326,11370,47077,15,8,16,80,200
Hospitalizations,03/25/2023,50-64,23.8,5.6,4.5,4.2,5.3,,,,,,33548,125665,246890,8,7,11,50,64
Hospitalizations,02/05/2022,All,13.1,8.6,7.7,1.5,1.7,17.3,11.7,4.8,1.5,3.6,695615,928537,818642,91,80,63,999,999
Cases,04/23/2022,65-79,98.1,77.8,132.1,1.3,0.7,,,,,,47898,50126,161284,47,39,213,65,79
Cases,09/17/2022,65-79,135.1,115.2,141.8,1.2,1.0,,,,,,45164,43419,171309,61,50,243,65,79
Hospitalizations,05/13/2023,80+,16.3,26.4,29.7,0.6,0.5,,,,,,24575,11384,47128,4,3,14,80,200
Hospitalizations,08/12/2023,80+,8.2,17.6,25.5,0.5,0.3,,,,,,24472,11382,47131,2,2,12,80,200
Cases,07/23/2022,All,286.6,166.0,258.9,1.7,1.1,334.5,164.4,230.0,2.0,1.5,620290,856799,1004817,1778,1422,2601,999,999
Deaths,03/12/2022,80+,11.1,27.8,0.0,0.4,,,,,,,27140,14363,42701,3,4,0,80,200
Cases,01/21/2023,All,128.2,71.7,93.1,1.8,1.4,148.2,73.5,88.7,2.0,1.7,550760,855236,1040253,706,613,968,999,999
Cases,04/16/2022,50-64,172.7,58.4,124.9,3.0,1.4,,,,,,44596,136888,229793,77,80,287,50,64
Cases,03/26/2022,65-79,39.1,32.7,41.6,1.2,0.9,,,,,,48633,52066,158525,19,17,66,65,79
Deaths,05/06/2023,18-29,0.0,0.0,0.0,,,,,,,,75322,214130,161688,0,0,0,18,29
Hospitalizations,12/04/2021,18-29,19.1,3.0,0.0,6.4,,,,,,,151690,300768,31036,29,9,0,18,29
Deaths,08/12/2023,18-29,0.0,0.0,0.0,,,,,,,,73575,214133,161715,0,0,0,18,29
Deaths,01/14/2023,65-79,2.5,4.6,1.2,0.5,2.1,,,,,,40444,43375,171679,1,2,2,65,79
Hospitalizations,04/03/2021,30-49,13.4,1.9,,7.1,,,,,,,506745,105885,,68,2,,30,49
Deaths,04/01/2023,30-49,0.0,0.0,0.0,,,,,,,,109912,278121,347279,0,0,0,30,49
Cases,08/13/2022,65-79,224.9,159.9,210.0,1.4,1.1,,,,,,45801,44391,169993,103,71,357,65,79
Deaths,01/29/2022,5-11,0.0,0.0,,,,,,,,,115323,59100,,0,0,,5,11
Deaths,11/06/2021,5-11,0.0,,,,,,,,,,204950,,,0,,,5,11
Cases,04/24/2021,50-64,238.7,22.3,,10.7,,,,,,,168402,134446,,402,30,,50,64
Cases,12/31/2022,0-4,89.8,4.9,,18.3,,,,,,,162642,,,146,8,,0,4
Hospitalizations,02/11/2023,0-4,2.5,0.0,,,,,,,,,162642,,,4,0,,0,4
Cases,01/29/2022,0-4,301.9,,,,,,,,,,162642,,,491,,,0,4
Deaths,04/17/2021,50-64,7.5,0.0,,,,,,,,,186304,101585,,14,0,,50,64
Deaths,10/08/2022,50-64,5.2,0.0,0.4,,13.0,,,,,,38636,125178,246593,2,0,1,50,64
Deaths,04/22/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,05/01/2021,80+,29.7,2.4,,12.4,,,,,,,37001,42149,,11,1,,80,200
Hospitalizations,08/21/2021,50-64,53.4,4.1,,13.0,,,,,,,91732,320054,,49,13,,50,64
Deaths,08/21/2021,80+,12.6,3.8,,3.3,,,,,,,31765,52936,,4,2,,80,200
Cases,07/29/2023,0-4,22.1,0.6,,36.8,,,,,,,162642,,,36,1,,0,4
Hospitalizations,03/25/2023,0-4,3.7,0.0,,,,,,,,,162642,,,6,0,,0,4
Hospitalizations,01/14/2023,30-49,9.8,3.6,3.5,2.7,2.8,,,,,,112361,277385,347213,11,10,12,30,49
Hospitalizations,11/13/2021,30-49,18.3,1.5,0.0,12.2,,,,,,,196498,516743,46608,36,8,0,30,49
Deaths,10/23/2021,30-49,2.4,0.0,0.0,,,,,,,,207114,534216,17244,5,0,0,30,49
Cases,03/05/2022,All,52.5,27.4,40.1,1.9,1.3,56.2,26.6,33.4,2.1,1.7,668131,908622,900419,351,249,361,999,999
Deaths,01/28/2023,All,0.4,0.2,0.3,2.0,1.3,0.6,0.5,0.2,1.1,3.0,549564,855718,1040296,2,2,3,999,999
Hospitalizations,12/04/2021,5-11,1.3,0.0,,,,,,,,,156736,13,,2,0,,5,11
Hospitalizations,06/17/2023,30-49,0.9,0.0,0.3,,3.0,,,,,,108176,278399,347307,1,0,1,30,49
Cases,08/28/2021,30-49,286.2,96.2,,3.0,,,,,,,243499,512355,,697,493,,30,49
Cases,09/09/2023,12-17,34.7,26.6,31.4,1.3,1.1,,,,,,31714,86574,44596,11,23,14,12,17
Hospitalizations,09/24/2022,5-11,2.1,0.0,0.0,,,,,,,,94919,81672,18722,2,0,0,5,11
Deaths,08/21/2021,18-29,0.5,0.0,,,,,,,,,197658,288634,,1,0,,18,29
Cases,09/30/2023,All,42.4,21.3,39.9,2.0,1.1,51.8,23.5,31.6,2.2,1.6,524196,860280,1040855,222,183,415,999,999
Hospitalizations,02/18/2023,0-4,3.7,0.0,,,,,,,,,162642,,,6,0,,0,4
Hospitalizations,06/12/2021,18-29,2.5,0.0,,,,,,,,,236542,236566,,6,0,,18,29
Hospitalizations,12/03/2022,65-79,72.5,48.4,25.1,1.5,2.9,,,,,,41351,43349,171626,30,21,43,65,79
Hospitalizations,12/10/2022,All,16.8,9.3,13.3,1.8,1.3,21.7,13.4,9.0,1.6,2.4,560620,851689,1039873,94,79,138,999,999
Cases,10/01/2022,65-79,96.9,103.7,100.4,0.9,1.0,,,,,,44363,43409,171376,43,45,172,65,79
Deaths,10/07/2023,12-17,0.0,0.0,0.0,,,,,,,,31666,86571,44601,0,0,0,12,17
Cases,01/07/2023,65-79,187.4,143.0,148.0,1.3,1.3,,,,,,40561,43362,171679,76,62,254,65,79
Cases,02/26/2022,All,77.7,37.7,50.7,2.1,1.5,88.9,36.0,44.8,2.5,2.0,671890,908056,888098,522,342,450,999,999
Hospitalizations,02/12/2022,65-79,36.4,31.2,8.6,1.2,4.2,,,,,,49452,57654,151402,18,18,13,65,79
Cases,08/14/2021,50-64,235.6,53.8,,4.4,,,,,,,94229,318064,,222,171,,50,64
Deaths,11/04/2023,18-29,0.0,0.0,0.0,,,,,,,,69457,215124,162370,0,0,0,18,29
Cases,12/25/2021,80+,516.6,798.1,266.3,0.6,1.9,,,,,,28067,22679,33427,145,181,89,80,200
Cases,02/25/2023,30-49,121.8,61.9,79.5,2.0,1.5,,,,,,110797,277836,347256,135,172,276,30,49
Cases,12/04/2021,18-29,537.3,203.8,103.1,2.6,5.2,,,,,,151690,300768,31036,815,613,32,18,29
Cases,10/15/2022,50-64,259.3,67.9,106.2,3.8,2.4,,,,,,38173,125196,246614,99,85,262,50,64
Hospitalizations,08/05/2023,12-17,0.0,0.0,0.0,,,,,,,,32022,86577,44592,0,0,0,12,17
Cases,09/18/2021,All,188.9,63.0,,3.0,,211.4,51.8,,4.1,,1033219,1487228,,1952,937,,999,999
Cases,02/12/2022,50-64,229.9,72.1,71.6,3.2,3.2,,,,,,47848,152527,208125,110,110,149,50,64
Cases,12/17/2022,0-4,126.7,7.4,,17.1,,,,,,,162642,,,206,12,,0,4
Deaths,05/21/2022,5-11,0.0,0.0,0.0,,,,,,,,101061,94369,411,0,0,0,5,11
Cases,07/23/2022,12-17,174.6,86.4,120.5,2.0,1.4,,,,,,36073,90284,39015,63,78,47,12,17
Deaths,04/03/2021,All,1.5,0.3,,5.0,,2.0,0.1,,19.3,,1827674,338699,,27,1,,999,999
Cases,09/17/2022,12-17,208.0,80.5,85.7,2.6,2.4,,,,,,35094,85762,44338,73,69,38,12,17
Cases,05/07/2022,5-11,278.1,534.8,,0.5,,,,,,,101762,93683,,283,501,,5,11
Hospitalizations,10/09/2021,30-49,14.4,1.7,,8.5,,,,,,,214640,537114,,31,9,,30,49
Cases,01/07/2023,30-49,178.3,68.9,97.3,2.6,1.8,,,,,,112744,277305,347207,201,191,338,30,49
Deaths,07/16/2022,80+,15.2,8.3,6.5,1.8,2.3,,,,,,26383,12003,46163,4,1,3,80,200
Hospitalizations,12/10/2022,30-49,14.9,4.0,3.5,3.7,4.3,,,,,,114339,276994,347125,17,11,12,30,49
Cases,12/24/2022,0-4,99.0,9.8,,10.1,,,,,,,162642,,,161,16,,0,4
Cases,10/02/2021,65-79,130.1,46.0,,2.8,,,,,,,62283,193295,,81,89,,65,79
Cases,04/16/2022,30-49,154.9,73.1,259.4,2.1,0.6,,,,,,131729,288694,328103,204,211,851,30,49
Cases,02/11/2023,65-79,124.4,106.0,96.7,1.2,1.3,,,,,,40183,43393,171693,50,46,166,65,79
Cases,02/04/2023,30-49,122.9,54.0,79.2,2.3,1.6,,,,,,111518,277594,347241,137,150,275,30,49
Cases,09/25/2021,All,150.5,58.8,,2.6,,167.7,48.1,,3.5,,1021435,1498444,,1537,881,,999,999
Deaths,11/20/2021,65-79,5.3,0.0,0.0,,,,,,,,56364,133667,69658,3,0,0,65,79
Hospitalizations,09/09/2023,5-11,0.0,0.0,0.0,,,,,,,,89422,82670,21265,0,0,0,5,11
Cases,09/30/2023,0-4,27.7,1.8,,15.4,,,,,,,162642,,,45,3,,0,4
Deaths,12/24/2022,30-49,0.0,0.0,0.0,,,,,,,,113497,277193,347177,0,0,0,30,49
Deaths,02/26/2022,5-11,0.0,0.0,,,,,,,,,106580,79595,,0,0,,5,11
Hospitalizations,10/08/2022,All,7.5,3.8,7.1,2.0,1.1,10.5,6.1,4.9,1.7,2.2,588205,843467,1037728,44,32,74,999,999
Cases,06/10/2023,30-49,24.0,6.8,10.9,3.5,2.2,,,,,,108308,278398,347307,26,19,38,30,49
Hospitalizations,09/17/2022,0-4,6.1,0.0,,,,,,,,,162642,,,10,0,,0,4
Deaths,04/23/2022,12-17,0.0,0.0,0.0,,,,,,,,37746,94929,32716,0,0,0,12,17
Cases,03/26/2022,18-29,92.7,33.1,113.8,2.8,0.8,,,,,,99220,220462,145029,92,73,165,18,29
Hospitalizations,06/11/2022,80+,30.1,104.3,54.9,0.3,0.5,,,,,,26548,12467,45506,8,13,25,80,200
Cases,11/04/2023,All,53.1,21.3,33.0,2.5,1.6,60.5,23.2,26.2,2.6,2.3,512405,862552,1044756,272,184,345,999,999
Cases,06/25/2022,5-11,67.3,93.3,76.5,0.7,0.9,,,,,,99599,91151,5230,67,85,4,5,11
Cases,11/13/2021,80+,95.5,128.5,13.7,0.7,7.0,,,,,,29306,40458,14603,28,52,2,80,200
Deaths,12/17/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,05/07/2022,5-11,0.0,0.0,,,,,,,,,101762,93683,,0,0,,5,11
Cases,07/03/2021,18-29,20.5,6.9,,3.0,,,,,,,224760,262359,,46,18,,18,29
Cases,10/21/2023,18-29,63.7,11.2,27.2,5.7,2.3,,,,,,70650,214710,162045,45,24,44,18,29
Hospitalizations,12/17/2022,12-17,3.0,0.0,2.2,,1.4,,,,,,33793,86155,44526,1,0,1,12,17
Deaths,12/17/2022,80+,8.0,17.6,4.2,0.5,1.9,,,,,,24877,11373,47108,2,2,2,80,200
Cases,07/02/2022,65-79,210.8,177.6,191.1,1.2,1.1,,,,,,46481,46183,167465,98,82,320,65,79
Hospitalizations,04/08/2023,All,4.3,2.3,4.7,1.9,0.9,6.2,3.1,3.2,2.0,1.9,540406,859347,1040563,23,20,49,999,999
Hospitalizations,02/18/2023,50-64,20.6,4.0,4.9,5.2,4.2,,,,,,33956,125555,246862,7,5,12,50,64
Deaths,09/23/2023,80+,8.2,0.0,4.2,,2.0,,,,,,24430,11380,47134,2,0,2,80,200
Cases,09/16/2023,5-11,6.7,15.7,23.5,0.4,0.3,,,,,,89406,82669,21266,6,13,5,5,11
Cases,06/05/2021,18-29,45.1,6.2,,7.3,,,,,,,241512,225206,,109,14,,18,29
Deaths,05/06/2023,5-11,0.0,0.0,0.0,,,,,,,,90817,82677,21239,0,0,0,5,11
Hospitalizations,04/08/2023,5-11,0.0,2.4,0.0,0.0,,,,,,,91121,82526,21223,0,2,0,5,11
Hospitalizations,12/03/2022,18-29,17.3,3.8,3.1,4.6,5.6,,,,,,81009,212601,161582,14,8,5,18,29
Cases,11/19/2022,80+,111.6,158.3,225.1,0.7,0.5,,,,,,25083,11368,47093,28,18,106,80,200
Cases,07/29/2023,12-17,15.6,5.8,4.5,2.7,3.5,,,,,,32091,86577,44592,5,5,2,12,17
Hospitalizations,06/26/2021,18-29,2.6,0.0,,,,,,,,,228136,254744,,6,0,,18,29
Hospitalizations,02/19/2022,30-49,4.4,3.0,1.3,1.5,3.4,,,,,,137833,299049,303628,6,9,4,30,49
Cases,02/12/2022,65-79,127.4,90.2,69.4,1.4,1.8,,,,,,49452,57654,151402,63,52,105,65,79
Cases,11/11/2023,50-64,171.6,43.7,48.8,3.9,3.5,,,,,,30308,125745,247813,52,55,121,50,64
Deaths,02/11/2023,80+,8.1,17.6,0.0,0.5,,,,,,,24710,11376,47122,2,2,0,80,200
Hospitalizations,10/29/2022,65-79,28.2,25.4,20.4,1.1,1.4,,,,,,42620,43357,171513,12,11,35,65,79
Hospitalizations,02/25/2023,30-49,2.7,1.8,3.7,1.5,0.7,,,,,,110797,277836,347256,3,5,13,30,49
Deaths,07/23/2022,30-49,0.0,0.0,0.0,,,,,,,,126870,279406,341686,0,0,0,30,49
Hospitalizations,11/11/2023,50-64,26.4,3.2,4.0,8.2,6.6,,,,,,30308,125745,247813,8,4,10,50,64
Hospitalizations,08/06/2022,30-49,17.4,4.0,4.4,4.4,4.0,,,,,,126294,278159,343405,22,11,15,30,49
Hospitalizations,11/11/2023,30-49,5.0,2.1,1.4,2.4,3.6,,,,,,100910,279296,348677,5,6,5,30,49
Cases,09/23/2023,All,58.8,23.8,47.0,2.5,1.3,69.9,26.3,35.8,2.7,2.0,525521,860278,1040840,309,205,489,999,999
Hospitalizations,07/31/2021,30-49,14.3,1.0,,14.3,,,,,,,266646,496916,,38,5,,30,49
Deaths,12/18/2021,12-17,0.0,0.0,0.0,,,,,,,,56227,107530,554,0,0,0,12,17
Deaths,02/26/2022,30-49,1.5,0.0,0.0,,,,,,,,136458,296367,310294,2,0,0,30,49
Hospitalizations,10/30/2021,18-29,4.8,0.6,0.0,8.0,,,,,,,165307,313568,7958,8,2,0,18,29
Cases,06/18/2022,50-64,425.7,129.4,213.5,3.3,2.0,,,,,,42287,130631,238855,180,169,510,50,64
Hospitalizations,04/16/2022,50-64,9.0,2.2,4.8,4.1,1.9,,,,,,44596,136888,229793,4,3,11,50,64
Hospitalizations,10/16/2021,50-64,46.2,4.9,,9.4,,,,,,,75689,329389,,35,16,,50,64
Cases,05/07/2022,18-29,354.1,150.3,397.3,2.4,0.9,,,,,,96593,217622,150759,342,327,599,18,29
Cases,08/13/2022,30-49,289.7,131.5,202.5,2.2,1.4,,,,,,125984,277655,344132,365,365,697,30,49
Hospitalizations,07/31/2021,65-79,13.0,4.2,,3.1,,,,,,,69459,192009,,9,8,,65,79
Hospitalizations,10/29/2022,All,9.7,5.7,7.9,1.7,1.2,11.6,8.1,6.0,1.4,1.9,576831,846073,1039237,56,48,82,999,999
Cases,11/27/2021,30-49,328.8,118.6,55.8,2.8,5.9,,,,,,189760,487368,82444,624,578,46,30,49
Cases,05/22/2021,80+,54.0,21.2,,2.5,,,,,,,35155,47103,,19,10,,80,200
Deaths,07/22/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,01/01/2022,0-4,35.0,,,,,,,,,,162642,,,57,,,0,4
Deaths,08/07/2021,65-79,4.4,0.5,,8.8,,,,,,,68485,192863,,3,1,,65,79
Deaths,10/01/2022,65-79,2.3,0.0,2.3,,1.0,,,,,,44363,43409,171376,1,0,4,65,79
Cases,07/29/2023,65-79,28.0,18.4,31.4,1.5,0.9,,,,,,39287,43420,171749,11,8,54,65,79
Deaths,04/10/2021,80+,24.7,0.0,,,,,,,,,40425,30292,,10,0,,80,200
Deaths,10/01/2022,80+,0.0,8.8,8.5,0.0,0.0,,,,,,25857,11380,47042,0,1,4,80,200
Cases,04/02/2022,All,79.0,55.5,102.3,1.4,0.8,86.5,51.8,90.8,1.7,1.0,657870,901409,932489,520,500,954,999,999
Hospitalizations,05/06/2023,5-11,0.0,0.0,0.0,,,,,,,,90817,82677,21239,0,0,0,5,11
Hospitalizations,01/01/2022,50-64,314.4,70.5,16.3,4.5,19.3,,,,,,56937,206986,147279,179,146,24,50,64
Hospitalizations,07/17/2021,12-17,2.0,0.0,,,,,,,,,102168,57846,,2,0,,12,17
Hospitalizations,08/28/2021,65-79,65.3,9.2,,7.1,,,,,,,65885,194871,,43,18,,65,79
Hospitalizations,05/20/2023,80+,20.4,0.0,10.6,,1.9,,,,,,24557,11384,47128,5,0,5,80,200
Cases,09/02/2023,30-49,66.4,29.1,42.0,2.3,1.6,,,,,,106946,278397,347321,71,81,146,30,49
Deaths,12/04/2021,50-64,10.9,0.0,0.0,,,,,,,,64234,270486,79047,7,0,0,50,64
Cases,02/26/2022,50-64,134.9,24.7,35.9,5.5,3.8,,,,,,46700,145752,217214,63,36,78,50,64
Hospitalizations,02/05/2022,5-11,0.0,0.0,,,,,,,,,112371,63443,,0,0,,5,11
Hospitalizations,09/16/2023,0-4,3.1,0.0,,,,,,,,,162642,,,5,0,,0,4
Cases,07/16/2022,All,251.7,157.2,263.5,1.6,1.0,308.3,152.2,238.5,2.0,1.3,623694,859285,1001233,1570,1351,2638,999,999
Cases,03/19/2022,12-17,69.9,25.0,30.4,2.8,2.3,,,,,,38626,96018,29614,27,24,9,12,17
Deaths,05/27/2023,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,06/04/2022,12-17,414.2,212.6,347.9,1.9,1.2,,,,,,36941,93128,35358,153,198,123,12,17
